Frame,num_cells,Circular,Fixed,Dead,fragments,apoptotic,necrotic,fixed,regular,avg_area,avg_brightness
0,1135,1131,0,0,4,4,0,0,1131,87.73039647577093,117.0858023346571
1,1071,1069,0,0,2,2,0,0,1069,85.96358543417367,116.92651159931395
2,1082,1078,0,0,4,1,1,2,1078,89.68114602587801,118.57995084810626
3,1085,1066,0,0,19,3,2,14,1066,98.63870967741936,120.30898550397943
4,1129,1108,0,0,21,3,1,17,1108,104.11337466784765,120.33180855053774
5,1174,1145,0,0,29,4,4,21,1145,112.00085178875639,121.7636445230867
6,1182,1131,0,0,51,2,4,45,1131,122.72419627749576,122.84274791011093
7,1213,1143,0,0,70,4,7,59,1143,130.47238252267107,123.4502263231058
8,1255,1162,0,0,93,2,5,86,1162,135.72509960159363,124.41402115768172
9,1289,1183,0,0,106,3,11,92,1183,144.01861908456166,124.91900373844669
10,1332,1195,0,0,137,1,5,131,1195,151.46846846846847,125.36518695145516
11,1372,1204,0,0,168,2,17,149,1204,154.64941690962098,125.57745703283051
12,1440,1255,0,0,185,3,15,167,1255,157.85972222222222,125.80056090622092
13,1486,1256,0,0,230,2,19,209,1256,161.51749663526246,126.02446434630625
14,1508,1274,0,0,234,4,13,217,1274,168.22745358090185,126.20903421366083
15,1518,1263,0,0,255,4,9,242,1263,173.41699604743084,126.11067143145509
16,1555,1301,0,0,254,7,13,234,1301,174.33504823151125,126.25295058901682
17,1554,1304,0,0,250,2,15,233,1304,183.0019305019305,126.25540464743466
18,1593,1337,0,0,256,3,22,231,1337,185.5084745762712,126.25859589615415
19,1631,1383,0,0,248,1,14,233,1383,184.35131820968732,126.17228513531012
20,1664,1399,0,0,265,4,20,241,1399,184.63762019230768,126.37878588248287
21,1703,1445,0,0,258,6,14,238,1445,185.17557251908397,126.25600094973287
22,1748,1474,0,0,274,3,17,254,1474,183.55434782608697,126.41409682268642
23,1829,1554,0,0,275,5,17,253,1554,179.38928376161837,126.18456675033475
24,1854,1565,0,0,289,5,18,266,1565,180.08845738942827,126.27562173170301
25,1910,1639,0,0,271,4,18,249,1639,178.17958115183245,126.11104861733763
26,1957,1670,0,0,287,2,15,270,1670,174.53091466530404,126.13040050351908
27,2002,1715,0,0,287,1,12,274,1715,174.27472527472528,126.57985887768737
28,2068,1754,0,0,314,5,18,291,1754,169.20406189555126,126.22504744235135
29,2139,1851,0,0,288,2,18,268,1851,165.77840112201963,126.2545071717264
30,2189,1874,0,0,315,2,22,291,1874,165.53997259022384,126.15390746728737
31,2255,1947,0,0,308,6,15,287,1947,163.28470066518847,126.11290776865043
32,2311,1989,0,0,322,4,13,305,1989,161.38641280830808,125.94528400107842
33,2362,1997,0,0,365,4,14,347,1997,159.60711261642675,125.94275990369825
34,2402,2037,0,0,365,3,24,338,2037,158.84762697751873,126.05943150746987
35,2447,2069,0,0,378,4,13,361,2069,157.87045361667347,125.906897273883
36,2471,2080,0,0,391,3,11,377,2080,157.51436665317686,125.75010346243491
37,2523,2117,0,0,406,8,23,375,2117,156.79191438763377,125.49411473882387
38,2553,2126,0,0,427,2,23,402,2126,156.35683509596552,125.61299771846774
39,2589,2200,0,0,389,2,23,364,2200,153.87562765546542,125.37776515887639
40,2613,2208,0,0,405,5,25,375,2208,153.27898966704936,125.2475258133538
41,2641,2226,0,0,415,7,28,380,2226,152.09314653540326,125.10702005921834
42,2679,2298,0,0,381,5,26,350,2298,150.38335199701382,124.91641915927573
43,2733,2355,0,0,378,7,31,340,2355,146.88071716062933,125.38544708255513
44,2720,2355,0,0,365,3,22,340,2355,147.36433823529413,124.4676469255957
45,2733,2371,0,0,362,10,25,327,2371,146.07135016465423,124.24327719245909
46,2736,2387,0,0,349,4,32,313,2387,144.84576023391813,123.95616398386916
47,2766,2428,0,0,338,6,34,298,2428,142.5455531453362,123.60951378053774
48,2764,2445,0,0,319,9,25,285,2445,139.91353111432707,123.40902308843339
49,2764,2471,0,0,293,9,25,259,2471,137.26121562952244,123.13603982602393
50,2791,2528,0,0,263,5,24,234,2528,134.65926191329274,122.78240763565492
51,2789,2543,0,0,246,5,22,219,2543,132.21728217999282,122.44618150024469
52,2774,2542,0,0,232,8,33,191,2542,130.59625090122566,122.18402131050547
53,2776,0,2542,0,234,9,31,194,2542,128.65381844380403,122.63062780286444
54,2741,0,2528,0,213,7,31,175,2528,126.91499452754469,122.74720284652594
55,2724,0,2521,0,203,6,30,167,2521,126.01982378854626,122.35323714450483
56,2761,0,2583,0,178,9,31,138,2583,123.43716044911264,121.98043354125289
57,2767,0,2586,0,181,7,29,145,2586,122.19371160101193,121.86418384133664
58,2704,0,2541,0,163,9,23,131,2541,120.89866863905326,122.0540719969629
59,2716,0,2553,0,163,7,24,132,2553,116.07290132547864,121.55317701732756
60,2737,0,2591,0,146,11,23,112,2591,115.17756667884545,121.30108277254885
61,2689,0,2569,0,120,9,21,90,2569,114.22982521383413,120.05445345500127
62,2703,0,2592,0,111,10,16,85,2592,113.5449500554939,120.6387585557501
63,2695,0,2583,0,112,17,14,81,2583,109.66641929499072,119.4869068232505
64,2696,0,2588,0,108,11,13,84,2588,109.46921364985164,120.58539935755074
65,2708,0,2606,0,102,14,15,73,2606,108.86558345642541,120.32890834878624
66,2691,0,2611,0,80,7,9,64,2611,108.53734671125976,120.44602265040017
67,2656,0,2574,0,82,11,8,63,2574,107.55911144578313,120.38950780781254
68,2658,0,2572,0,86,7,9,70,2572,105.14145974416854,120.403960721652
69,2668,0,2589,0,79,11,12,56,2589,104.71326836581709,120.46341569899394
70,2666,0,2586,0,80,12,13,55,2586,104.01725431357839,120.29228784338001
71,2686,0,2626,0,60,9,9,42,2626,101.03462397617275,120.06228939127408
72,2679,0,2631,0,48,9,5,34,2631,100.39305711086226,120.3020783744924
73,2618,0,2562,0,56,8,8,40,2562,102.49618029029794,119.9911980608628
74,2649,0,2599,0,50,12,5,33,2599,101.01963004907512,120.12904430104606
75,2671,0,2624,0,47,11,7,29,2624,99.16211156870087,120.14081729222505
76,2678,0,2627,0,51,12,5,34,2627,99.11053024645258,119.65512567635277
77,2657,0,2616,0,41,9,5,27,2616,98.90440346255176,119.42445405526678
78,2610,0,2566,0,44,14,6,24,2566,98.75057471264368,119.35396857568591
79,2672,0,2632,0,40,9,7,24,2632,96.43001497005989,119.25402109025772
80,2666,0,2622,0,44,11,6,27,2622,97.23368342085521,119.51074027508726
81,2673,0,2628,0,45,14,8,23,2628,96.47325102880659,119.4258798335394
82,2655,0,2627,0,28,5,5,18,2627,96.13898305084746,119.58063258410952
83,2664,0,2633,0,31,9,2,20,2633,95.99812312312312,119.5077891079981
84,2659,0,2627,0,32,4,3,25,2627,95.14291086874765,119.47721231313403
85,2679,0,2654,0,25,5,2,18,2654,93.70660694288914,119.52589560423148
86,2688,0,2659,0,29,7,6,16,2659,92.61681547619048,119.44689716298195
87,2683,0,2662,0,21,5,3,13,2662,92.33879985091316,119.41192130553875
88,2656,0,2627,0,29,10,8,11,2627,92.38968373493977,119.34581411458234
89,2640,0,2612,0,28,9,3,16,2612,92.64015151515152,119.39411749456502
90,2606,0,2575,0,31,9,3,19,2575,92.53568687643899,119.48604664743264
91,2634,0,2612,0,22,9,2,11,2612,91.53948367501899,119.47724472493259
92,2644,0,2613,0,31,6,5,20,2613,91.40960665658093,119.44485096567297
93,2666,0,2650,0,16,5,3,8,2650,90.19992498124532,119.44930914853026
94,2676,0,2647,0,29,8,6,15,2647,88.8221225710015,119.5482068887141
95,2663,0,2633,0,30,13,1,16,2633,88.55125797972212,119.79050289748857
96,2675,0,2642,0,33,14,6,13,2642,87.69644859813084,119.35541671882736
97,2671,0,2642,0,29,10,3,16,2642,88.53800074878323,119.43269397333036
98,2692,0,2663,0,29,9,4,16,2663,88.14264487369985,119.44367237535359
99,2655,0,2634,0,21,6,6,9,2634,88.50546139359699,119.36806558407389
100,2678,0,2656,0,22,8,3,11,2656,87.39731142643764,119.33736510995297
101,2642,0,2629,0,13,3,2,8,2629,87.78993186979561,119.29842719715313
102,2644,0,2617,0,27,12,3,12,2617,88.07904689863842,119.3424635882249
103,2656,0,2630,0,26,9,5,12,2630,87.23719879518072,119.23212060358638
104,2650,0,2625,0,25,8,2,15,2625,87.82264150943396,119.35112910781389
105,2658,0,2638,0,20,7,5,8,2638,86.61851015801355,119.35326089755806
106,2640,0,2615,0,25,9,5,11,2615,86.74734848484849,119.52945082358693
107,2662,0,0,2640,22,10,3,9,2640,85.72915101427498,119.34819101826919
108,2686,0,0,2664,22,8,3,11,2664,84.79374534623976,119.35976944213068
109,2645,0,0,2629,16,6,2,8,2629,86.55538752362949,119.4609684184194
110,2670,0,0,2651,19,11,1,7,2651,85.39176029962547,119.38640497686355
111,2655,0,0,2641,14,7,2,5,2641,85.60414312617702,119.44663194540789
112,2651,0,0,2638,13,3,4,6,2638,85.21878536401358,119.4524703647535
113,2622,0,0,2604,18,11,3,4,2604,85.49199084668192,119.47632280732495
114,2630,0,0,2607,23,13,4,6,2607,84.89011406844106,119.67637729816366
115,2613,0,0,2597,16,6,3,7,2597,85.37964026023728,119.42896520550048
116,2606,0,0,2590,16,6,3,7,2590,84.67498081350729,119.39978464623616
117,2618,0,0,2593,25,9,8,8,2593,84.09243697478992,119.39926515840928
118,2578,0,0,2560,18,10,3,5,2560,84.14817688130334,119.87374793620756
119,2570,0,0,2556,14,10,3,1,2556,84.79377431906615,119.7461761094893
120,2585,0,0,2564,21,7,8,6,2564,84.20889748549322,119.41597751461046
121,2605,0,0,2581,24,14,4,6,2581,83.47408829174664,119.1619294203231
122,2592,0,0,2574,18,12,3,3,2574,83.30979938271605,119.81106020526761
123,2619,0,0,2601,18,13,0,5,2601,82.68079419625812,119.39258658363813
124,2625,0,0,2604,21,13,4,4,2604,82.43771428571428,119.3883941512656
125,2603,0,0,2578,25,11,5,9,2578,82.63081060315021,119.32657179116924
126,2587,0,0,2564,23,15,3,5,2564,82.94433706996521,119.32466257134958
127,2606,0,0,2583,23,10,6,7,2583,82.82310053722179,119.50363597034867
128,2596,0,0,2570,26,12,6,8,2570,83.17295839753467,119.99372193177638
129,2593,0,0,2582,11,7,1,3,2582,83.44581565753953,119.62281583574297
130,2599,0,0,2586,13,5,5,3,2586,83.23278183916891,119.87387812517308
131,2621,0,0,2611,10,6,2,2,2611,82.22014498283099,119.85715327409957
132,2607,0,0,2594,13,8,3,2,2594,82.76256233218258,119.88657229106705
133,2636,0,0,2620,16,10,2,4,2620,82.78641881638846,119.9195970891481
134,2641,0,0,2627,14,3,4,7,2627,81.9265429761454,119.86630949655854
135,2637,0,0,2617,20,12,2,6,2617,81.87599544937429,119.78928188351888
136,2611,0,0,2595,16,9,2,5,2595,81.68747606281119,119.80130917433694
137,2623,0,0,2611,12,8,1,3,2611,81.49828440716736,119.7805655734271
138,2602,0,0,2584,18,11,4,3,2584,81.9554189085319,119.67605855500331
139,2591,0,0,2576,15,4,7,4,2576,82.38440756464685,119.83887654946899
140,2616,0,0,2600,16,7,2,7,2600,81.60359327217125,119.6971842317746
141,2603,0,0,2593,10,6,1,3,2593,82.0318862850557,119.77973036982739
142,2593,0,0,2574,19,8,5,6,2574,81.41419205553413,119.786312737949
143,2601,0,0,2586,15,4,5,6,2586,81.19684736639753,119.68623926737236
144,2604,0,0,2587,17,7,6,4,2587,81.10599078341014,119.68146672961404
145,2620,0,0,2600,20,6,6,8,2600,80.91030534351145,119.75376115992383
146,2627,0,0,2612,15,4,4,7,2612,80.86486486486487,119.56088988900723
147,2623,0,0,2612,11,5,1,5,2612,81.01906214258483,119.71553714928257
148,2645,0,0,2622,23,4,14,5,2622,80.40869565217392,119.55207740091815
149,2631,0,0,2615,16,5,4,7,2615,80.68187001140251,119.16357495385829
150,2616,0,0,2602,14,3,5,6,2602,80.81230886850153,119.01390674239452
151,2610,0,0,2601,9,3,4,2,2601,80.74291187739463,119.25352323550318
152,2615,0,0,2603,12,6,2,4,2603,80.45047801147227,118.95457900620946
153,2597,0,0,2582,15,5,3,7,2582,80.68540623796689,119.04927854383946
154,2589,0,0,2575,14,8,2,4,2575,80.67323290845887,119.10704889407191
155,2620,0,0,2606,14,6,1,7,2606,80.00801526717557,119.03164277612632
156,2599,0,0,2587,12,6,3,3,2587,80.49172758753366,119.04001274366298
157,2594,0,0,2583,11,4,3,4,2583,80.17270624518119,119.0020236951118
158,2605,0,0,2594,11,5,3,3,2594,80.60191938579655,118.86884068712838
159,2606,0,0,2595,11,4,3,4,2595,80.24481964696854,118.87725329218183
160,2599,0,0,2584,15,6,2,7,2584,80.5163524432474,118.89666973485281
